"What is your present religion, if any?",,Do you attend religious services,"How often do you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How often do you: Pray in public using some kind of physical object (rosary, tefillin, etc)",How often do you: Pray aloud before meals in the presence of people who don't belong to your religion,How often do you: Tell someone you'll pray for him or her,How often do you: Ask or offer to pray with someone,"How often do you: Bring up your religion, unprompted, in conversation","How often do you: Ask others about their religion, unprompted, in conversation","How often do you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How often do you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How often do you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)",What is your age?,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
Response,None of these,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
None of these,Wesleyan Christian,Weekly or more,A few times per week,Not applicable to my religious beliefs,A few times per month,A few times per week,Never,A few times per month,A few times per month,Once a year or less,A few times per week,Once a year or less,18 - 29,Male,"$0 to $9,999",East North Central
Atheist,,,,,,,,,,,,,18 - 29,Male,"$10,000 to $24,999",Middle Atlantic
Protestant,,Weekly or more,A few times per month,Never,Once a year or less,A few times per month,A few times per month,A few times per month,Once a month or less,Never,Once a month or less,Never,18 - 29,Male,"$25,000 to $49,999",East North Central
Muslim,,Weekly or more,Every day,A few times per month,Never,Once a month or less,Once a month or less,Never,Once a year or less,Every day,Every day,Once a month or less,18 - 29,Male,"$0 to $9,999",South Atlantic
None of these,Working on Christianity. Orthodox seemed too committed ,Weekly or more,Never,Never,Never,Once a month or less,A few times per month,Once a month or less,Once a year or less,Never,Never,Never,18 - 29,Male,"$75,000 to $99,999",Pacific
None of these,Episcopalian ,Less than weekly,Once a year or less,Never,Once a month or less,Once a month or less,Never,Never,Never,Never,Never,Never,18 - 29,Male,"$25,000 to $49,999",Mountain
None of these,the multiverse,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,18 - 29,Male,"$10,000 to $24,999",East North Central
Protestant,,Less than weekly,Never,Not applicable to my religious beliefs,Never,Once a year or less,Once a year or less,Never,Never,Never,Never,Never,18 - 29,Male,"$0 to $9,999",East North Central
None of these,Reality,Never,Never,Never,Never,Never,Never,Every day,Never,Never,Never,Never,18 - 29,Male,"$10,000 to $24,999",South Atlantic
Protestant,,Weekly or more,A few times per week,Once a year or less,A few times per month,A few times per month,Once a month or less,Once a month or less,Once a month or less,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a year or less,45 - 59,Male,"$50,000 to $74,999",Mountain
None of these,Christian,Less than weekly,Once a month or less,Never,Never,A few times per month,Never,A few times per month,Never,Never,Never,Never,45 - 59,Male,Prefer not to answer,East North Central
Roman Catholic,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,18 - 29,Male,"$0 to $9,999",Mountain
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Once a year or less,Never,Never,Never,45 - 59,Male,Prefer not to answer,Middle Atlantic
